成交日期,商品,買賣,倉別,盤別,成交均價,成交口數,委託書號
2026/01/23,小型台積電期202602,賣出,新倉,早盤,1780,1,
2026/01/26,小型台積電期202602,買進,平倉,早盤,1775,1,
2026/03/31,小型台積電期202604,買進,新倉,早盤,1790,1,
2026/04/01,小型台積電期202604,賣出,平倉,早盤,1840,1,
2026/04/02,小型台積電期202604,買進,新倉,早盤,1825,1,Fae2W
2026/04/07,小型台積電期202604,買進,新倉,早盤,1840,1,iS233
2026/04/07,小型台積電期202604,賣出,平倉,早盤,1845,1,ig100
2026/04/07,小型台積電期202604,賣出,平倉,早盤,1845,1,iH244
2026/06/08,小型台積電期202606,買進,新倉,早盤,2270,1,i1159
2026/06/08,小型台積電期202606,賣出,平倉,早盤,2320,1,iV454
2026/06/10,小型台積電期202606,買進,新倉,早盤,2280,1,iY103
2026/06/12,小型台積電期202606,賣出,平倉,早盤,2305,1,it484
2026/06/17,小型台積電期202607,買進,新倉,早盤,2375,1,iA093
2026/06/17,小型台積電期202607,賣出,平倉,早盤,2405,1,iA603
2026/06/24,小型台積電期202607,買進,新倉,早盤,2450,1,iU207
2026/06/26,小型台積電期202607,買進,新倉,早盤,2380,1,i0069
2026/06/26,小型台積電期202607,買進,新倉,早盤,2355,1,ik510
2026/06/29,小型台積電期202607,賣出,平倉,早盤,2400,1,i4131
2026/06/30,小型台積電期202607,賣出,平倉,早盤,2455,1,iN074
2026/07/01,小型台積電期202607,賣出,平倉,早盤,2500,1,iL318
2026/07/02,小型台積電期202607,買進,新倉,早盤,2475,1,ix113
2026/07/02,小型台積電期202607,賣出,平倉,早盤,2480,1,iK118
2026/07/03,小型台積電期202607,買進,新倉,早盤,2445,1,in105
2026/07/03,小型台積電期202607,賣出,平倉,早盤,2460,1,ik110
2026/07/06,小型台積電期202607,買進,新倉,早盤,2480,1,ih121
2026/07/07,小型台積電期202607,賣出,平倉,早盤,2500,1,ii167
2026/07/07,小型台積電期202607,買進,新倉,早盤,2475,1,ig168
2026/07/13,小型台積電期202607,賣出,平倉,早盤,2480,1,if221
2026/07/13,小型台積電期202608,買進,新倉,早盤,2480,1,ip400
2026/07/14,小型台積電期202608,買進,新倉,早盤,2450,1,iP116
2026/07/15,小型台積電期202608,賣出,平倉,早盤,2475,1,iq142
2026/07/17,小型台積電期202608,買進,新倉,早盤,2390,1,iX220
2026/07/17,小型台積電期202608,買進,新倉,早盤,2342,1,iV544
2026/07/21,小型台積電期202608,賣出,平倉,早盤,2400,1,il138
2026/07/22,小型台積電期202608,買進,新倉,早盤,2401,1,iB338
2026/07/28,小型台積電期202608,買進,新倉,早盤,2290,1,is115
2026/07/29,小型台積電期202608,買進,新倉,早盤,2190,1,ie661
2026/07/30,小型台積電期202608,賣出,平倉,早盤,2250,1,i7132
2026/07/30,小型台積電期202609,買進,新倉,早盤,2250,1,i1261
2026/07/31,小型台積電期202608,賣出,平倉,早盤,2387,1,i0139
2026/07/31,小型台積電期202608,賣出,平倉,早盤,2396,1,i3128
2026/07/31,小型台積電期202608,賣出,平倉,早盤,2400,1,i4124
2026/08/06,小型台積電期202608,賣出,平倉,早盤,2375,1,iY419
2026/08/12,小型台積電期202609,賣出,平倉,早盤,2425,1,iR405
2026/08/14,小型台積電期202609,買進,新倉,早盤,2430,1,ix399
2026/08/18,小型台積電期202609,買進,新倉,早盤,2400,1,iV078
2026/08/19,小型台積電期202609,買進,新倉,早盤,2345,1,iB115
2026/08/20,小型台積電期202609,賣出,平倉,早盤,2375,1,iU043
2026/08/26,小型台積電期202609,賣出,平倉,早盤,2421,1,
2026/08/31,小型台積電期202609,買進,新倉,早盤,2386,1,
2026/09/01,小型台積電期202609,賣出,平倉,早盤,2417,1,
