date,open,high,low,close,volume,trading_money,trading_turnover,spread
2024-02-26,54.7,54.8,54.6,54.7,23379,1278030,80,0.0
2024-02-27,54.7,54.7,54.5,54.7,41123,2245469,57,0.0
2024-02-29,54.7,54.8,54.6,54.6,21693,1185679,63,-0.1
2024-03-01,54.7,54.7,54.6,54.7,13466,735834,51,0.1
2024-03-04,54.8,54.8,54.8,54.8,15318,838259,72,0.1
2024-03-05,54.8,54.8,54.7,54.7,44850,2456034,80,-0.1
2024-03-06,54.7,54.8,54.7,54.7,11229,614018,63,0.0
2024-03-07,54.7,54.8,54.6,54.6,31782,1738073,65,-0.1
2024-03-08,54.6,54.6,54.6,54.6,19660,1072886,76,0.0
2024-03-11,54.6,54.7,54.6,54.6,25302,1382627,62,0.0
2024-03-12,54.6,54.7,54.6,54.7,29320,1601779,73,0.1
2024-03-13,54.6,54.7,54.6,54.6,16038,875574,67,-0.1
2024-03-14,54.6,54.6,54.6,54.6,37065,2023640,69,0.0
2024-03-15,54.6,54.7,54.6,54.7,163886,8959315,54,0.1
2024-03-18,54.7,54.7,54.6,54.6,15433,843215,44,-0.1
2024-03-19,54.6,54.7,54.6,54.7,17251,941825,59,0.1
2024-03-20,54.6,54.6,54.6,54.6,5890,321140,55,-0.1
2024-03-21,54.6,54.7,54.6,54.6,17229,940464,67,0.0
2024-03-22,54.6,54.6,54.3,54.3,153093,8322540,133,-0.3
2024-03-25,54.5,54.8,54.5,54.6,11540,629598,50,0.3
2024-03-26,54.6,54.6,54.4,54.5,15660,853381,60,-0.1
2024-03-27,54.5,54.6,54.5,54.5,10776,587369,45,0.0
2024-03-28,54.6,54.6,54.5,54.5,6900,376380,37,0.0
2024-03-29,54.5,54.8,54.5,54.8,14051,768483,46,0.3
2024-04-01,54.7,54.8,54.7,54.8,19326,1057689,37,0.0
2024-04-02,54.8,55.3,54.6,54.7,32496,1779673,49,-0.1
2024-04-03,54.7,54.7,54.7,54.7,9291,508014,20,0.0
2024-04-08,54.7,54.8,54.7,54.8,8426,460854,34,0.1
2024-04-09,54.7,54.8,54.7,54.7,27537,1506440,63,-0.1
2024-04-10,54.7,54.9,54.7,54.8,13659,748031,40,0.1
2024-04-11,54.7,54.8,54.7,54.7,7656,418741,24,-0.1
2024-04-12,54.7,54.7,54.7,54.7,11772,643775,28,0.0
2024-04-15,54.7,54.7,54.7,54.7,4644,253795,32,0.0
2024-04-16,54.0,54.6,54.0,54.6,97664,5299619,102,-0.1
2024-04-17,54.6,54.7,54.5,54.5,20528,1119777,36,-0.1
2024-04-18,54.4,54.5,54.4,54.5,10192,555304,51,0.0
