date,open,high,low,close,volume,trading_money,trading_turnover,spread
2024-02-26,51.8,51.8,51.6,51.8,66749,3451761,59,0.0
2024-02-27,51.7,51.7,51.6,51.6,33721,1740991,16,-0.2
2024-02-29,51.6,51.7,51.6,51.6,118087,6093169,37,0.0
2024-03-01,51.6,51.7,51.6,51.7,90418,4665640,133,0.1
2024-03-04,51.6,51.7,51.6,51.7,75875,3917619,41,0.0
2024-03-05,51.7,51.7,51.6,51.7,65077,3363178,21,0.0
2024-03-06,51.7,51.7,51.6,51.7,36340,1875479,18,0.0
2024-03-07,51.7,51.7,51.6,51.7,135764,7006105,56,0.0
2024-03-08,51.7,51.7,51.6,51.7,123431,6376909,50,0.0
2024-03-11,51.7,51.7,51.6,51.7,39993,2064239,30,0.0
2024-03-12,51.7,51.7,51.6,51.7,56598,2922905,49,0.0
2024-03-13,51.7,51.7,51.6,51.7,142041,7342644,38,0.0
2024-03-14,51.7,51.8,51.7,51.8,83223,4304695,62,0.1
2024-03-15,51.8,51.8,51.7,51.8,91286,4724370,40,0.0
2024-03-18,51.8,51.8,51.7,51.8,31225,1615115,46,0.0
2024-03-19,51.8,51.8,51.7,51.7,90585,4690542,51,-0.1
2024-03-20,51.8,51.8,51.7,51.8,41364,2140125,36,0.1
2024-03-21,51.7,51.8,51.7,51.8,79483,4112949,27,0.0
2024-03-22,51.8,51.8,51.6,51.6,121037,6258109,53,-0.2
2024-03-25,51.7,51.8,51.6,51.6,70220,3629776,40,0.0
2024-03-26,51.7,51.8,51.7,51.7,37960,1962966,27,0.1
2024-03-27,51.6,51.7,51.6,51.6,157967,8152749,60,-0.1
2024-03-28,51.6,51.7,51.6,51.7,58658,3030738,50,0.1
2024-03-29,51.6,51.7,51.6,51.7,59560,3074095,34,0.0
2024-04-01,51.8,51.8,51.7,51.8,26068,1347915,13,0.1
2024-04-02,51.7,51.8,51.7,51.8,83311,4307272,39,0.0
2024-04-03,51.8,51.9,51.7,51.9,64173,3321436,46,0.1
2024-04-08,51.8,51.9,51.8,51.9,40090,2076743,23,0.0
2024-04-09,51.9,52.0,51.8,52.0,71863,3731463,41,0.1
2024-04-10,52.0,52.1,52.0,52.1,128892,6710603,37,0.1
2024-04-11,52.1,52.3,52.1,52.3,135250,7064598,59,0.2
2024-04-12,52.2,52.2,52.1,52.2,81844,4269789,62,-0.1
2024-04-15,52.2,52.3,52.2,52.3,196391,10267232,59,0.1
2024-04-16,52.3,52.3,52.3,52.3,202232,10576720,61,0.0
2024-04-17,52.3,52.4,52.3,52.4,127036,6655275,47,0.1
2024-04-18,52.4,52.6,52.4,52.6,310480,16286349,63,0.2
2024-04-19,52.5,52.5,52.4,52.5,223087,11703949,46,-0.1
2024-04-22,52.5,52.5,52.5,52.5,57332,3009930,26,0.0
2024-04-23,52.5,52.6,52.5,52.6,344245,18073169,41,0.1
2024-04-24,52.5,52.6,52.5,52.6,95683,5028580,37,0.0
2024-04-25,52.5,52.6,52.5,52.6,135537,7124864,20,0.0
2024-04-26,52.5,52.6,52.5,52.5,68803,3614424,27,-0.1
2024-04-29,52.5,52.6,52.5,52.5,182069,9561321,51,0.0
2024-04-30,52.4,52.5,52.4,52.5,431011,22585974,64,0.0
2024-05-02,52.4,52.6,52.4,52.6,39009,2047086,31,0.1
2024-05-03,52.5,52.6,52.4,52.5,97783,5131074,51,-0.1
2024-05-06,52.5,52.6,52.5,52.5,91429,4803121,34,0.0
2024-05-07,52.5,52.6,52.5,52.6,66719,3505220,50,0.1
2024-05-08,52.5,52.6,52.5,52.6,49101,2577821,33,0.0
2024-05-09,52.6,52.6,52.4,52.5,114237,5995471,43,-0.1
2024-05-10,52.4,52.5,52.4,52.4,12757,668571,14,-0.1
2024-05-13,52.4,52.5,52.3,52.5,68088,3569110,34,0.1
2024-05-14,52.4,52.5,52.4,52.5,50017,2622893,26,0.0
2024-05-15,52.4,52.5,52.3,52.4,78046,4089664,37,-0.1
2024-05-16,52.4,52.4,52.3,52.3,62268,3257305,48,-0.1
2024-05-17,52.3,52.4,52.3,52.4,97359,5094176,37,0.1
2024-05-20,52.4,52.5,52.3,52.4,87281,4571090,36,0.0
2024-05-21,52.4,52.5,52.3,52.5,86938,4553558,32,0.1
2024-05-22,52.4,52.6,52.4,52.6,96371,5059505,37,0.1
2024-05-23,52.5,52.6,52.4,52.6,176491,9263719,25,0.0
2024-05-24,52.5,52.6,52.5,52.6,378208,19857486,36,0.0
2024-05-27,52.6,52.6,52.5,52.6,42244,2218785,15,0.0
2024-05-28,52.5,52.6,52.4,52.6,53547,2810217,23,0.0
2024-05-29,52.5,52.6,52.5,52.6,180511,9478527,43,0.0
2024-05-30,52.5,52.6,52.4,52.6,94626,4965860,28,0.0
2024-05-31,52.6,52.7,52.5,52.5,101691,5346375,49,-0.1
2024-06-03,52.5,52.5,52.4,52.4,55675,2920772,22,-0.1
2024-06-04,52.5,52.6,52.4,52.6,62560,3283692,37,0.2
2024-06-05,52.6,52.6,52.5,52.6,94768,4983170,32,0.0
2024-06-06,52.6,52.7,52.6,52.6,81231,4276047,41,0.0
2024-06-07,52.6,52.8,52.5,52.5,196428,10337261,64,-0.1
2024-06-11,52.6,52.8,52.6,52.8,65561,3453904,32,0.3
2024-06-12,52.8,52.8,52.6,52.8,116820,6156992,35,0.0
2024-06-13,52.8,52.8,52.6,52.8,49921,2630844,20,0.0
2024-06-14,52.7,52.8,52.6,52.8,45173,2380303,18,0.0
2024-06-17,52.7,52.7,52.5,52.6,230237,12094638,41,-0.2
2024-06-18,52.6,52.7,52.5,52.5,89193,4686833,58,-0.1
2024-06-19,52.5,52.6,52.5,52.5,30444,1598738,34,0.0
2024-06-20,52.6,52.8,52.5,52.5,153785,8088431,37,0.0
2024-06-21,52.5,52.6,52.5,52.6,79341,4166985,15,0.1
2024-06-24,52.6,52.6,52.5,52.6,88394,4645409,31,0.0
2024-06-25,52.5,52.8,52.5,52.7,155050,8172240,40,0.1
2024-06-26,52.7,52.7,52.5,52.5,91216,4797180,37,-0.2
2024-06-27,52.7,52.7,52.5,52.7,55830,2938791,25,0.2
2024-06-28,52.7,52.7,52.5,52.5,48040,2528699,20,-0.2
2024-07-01,52.5,52.8,52.5,52.8,287189,15130398,86,0.3
2024-07-02,50.6,50.7,50.5,50.5,325290,16446466,134,0.0
2024-07-03,50.5,50.7,50.5,50.7,236631,11973112,69,0.2
2024-07-04,50.7,50.9,50.7,50.9,137318,6977715,63,0.2
2024-07-05,50.9,51.0,50.9,51.0,58690,2989039,48,0.1
2024-07-08,51.0,51.0,50.9,50.9,81465,4152819,45,-0.1
2024-07-09,50.9,51.0,50.9,51.0,105343,5365159,46,0.1
2024-07-10,51.0,51.1,50.9,51.1,116216,5923242,45,0.1
2024-07-11,51.0,51.1,51.0,51.1,47554,2426843,45,0.0
2024-07-12,51.0,51.0,51.0,51.0,53478,2727376,23,-0.1
2024-07-15,50.9,51.0,50.9,51.0,27198,1385176,17,0.0
2024-07-16,51.0,51.0,50.9,51.0,24087,1227843,21,0.0
2024-07-17,51.0,51.0,50.8,51.0,141565,7204915,39,0.0
2024-07-18,50.9,51.0,50.8,50.9,32710,1665067,18,-0.1
2024-07-19,50.8,51.0,50.8,50.9,279534,14252175,63,0.0
2024-07-22,51.0,51.0,50.9,50.9,46367,2362442,29,0.0
2024-07-23,51.0,51.0,50.9,50.9,39102,1991979,17,0.0
2024-07-26,50.8,50.9,50.7,50.9,30676,1557978,29,0.0
2024-07-29,50.9,51.0,50.8,50.9,72811,3705494,36,0.0
2024-07-30,50.9,50.9,50.9,50.9,19456,990289,15,0.0
2024-07-31,50.9,51.1,50.9,51.1,131977,6726938,52,0.2
2024-08-01,51.1,51.2,51.0,51.2,56171,2870462,34,0.1
2024-08-02,51.2,51.4,51.2,51.3,37755,1934654,26,0.1
2024-08-05,51.2,51.2,50.8,50.9,103240,5256290,45,-0.4
2024-08-06,51.0,51.0,50.8,51.0,95383,4857617,33,0.1
2024-08-07,51.0,51.1,51.0,51.1,86276,4402204,41,0.1
2024-08-08,51.2,51.4,51.0,51.2,90178,4612544,34,0.1
2024-08-09,51.1,51.3,51.1,51.3,45844,2345767,31,0.1
2024-08-12,51.3,51.3,51.3,51.3,40475,2076111,35,0.0
2024-08-13,51.2,51.2,51.1,51.2,44214,2263354,21,-0.1
2024-08-14,51.1,51.3,51.1,51.3,32222,1649566,33,0.1
2024-08-15,51.3,51.5,51.2,51.3,129263,6643446,57,0.0
2024-08-16,51.3,51.4,51.3,51.4,69433,3562011,57,0.1
2024-08-19,51.4,51.6,51.4,51.4,55541,2858306,24,0.0
2024-08-20,51.4,51.4,51.3,51.3,18050,927274,8,-0.1
2024-08-21,51.3,51.5,51.3,51.5,40421,2080932,135,0.2
2024-08-22,0.0,0.0,0.0,0.0,0,0,0,0.0
2024-08-23,51.3,51.3,50.8,51.2,604839,30858670,188,0.0
2024-08-26,51.2,51.3,51.2,51.3,120363,6162615,30,0.1
2024-08-27,51.2,51.3,51.2,51.2,165001,8455551,79,-0.1
2024-08-28,51.2,51.3,51.2,51.3,231002,11833402,54,0.1
2024-08-29,51.2,51.3,51.2,51.2,454774,23285209,21,-0.1
2024-08-30,51.3,51.3,51.0,51.0,741441,37943629,95,-0.2
2024-09-02,51.2,51.2,51.0,51.0,1191343,60763224,57,0.0
2024-09-03,51.1,51.1,51.0,51.0,497005,25366655,29,0.0
2024-09-04,51.3,51.3,50.9,51.1,222000,11327900,25,0.1
2024-09-05,51.1,51.2,51.1,51.2,8866,453551,16,0.1
2024-09-06,51.2,51.5,51.2,51.5,138821,7126593,35,0.3
2024-09-09,51.3,51.3,51.2,51.2,44676,2289068,20,-0.3
2024-09-10,51.2,51.3,51.2,51.3,51785,2655657,16,0.1
2024-09-11,51.2,51.2,51.0,51.2,81496,4164462,40,-0.1
2024-09-12,51.2,51.2,51.1,51.1,147227,7524110,44,-0.1
2024-09-13,51.1,51.2,51.1,51.1,313903,16043349,33,0.0
2024-09-16,51.1,51.2,51.1,51.2,169000,8643600,22,0.1
2024-09-18,51.1,51.2,51.1,51.2,315231,16132324,86,0.0
2024-09-19,51.2,51.2,51.1,51.2,56538,2893748,47,0.0
2024-09-20,51.2,51.2,51.1,51.1,285945,14619495,43,-0.1
2024-09-23,51.0,51.6,51.0,51.2,337910,17286610,102,0.1
2024-09-24,51.1,51.1,51.1,51.1,170166,8695466,12,-0.1
2024-09-25,51.2,51.2,51.1,51.2,68519,3502868,19,0.1
2024-09-26,51.2,51.3,51.2,51.3,186167,9533031,26,0.1
2024-09-27,51.2,51.3,51.2,51.2,74110,3796731,40,-0.1
2024-09-30,51.2,51.2,51.0,51.2,111036,5676219,98,0.0
2024-10-01,51.1,51.2,51.0,51.1,58004,2964304,55,-0.1
2024-10-04,51.1,51.2,51.0,51.2,120222,6144441,49,0.1
2024-10-07,51.2,51.2,51.1,51.2,186669,9548989,59,0.0
2024-10-08,51.2,51.2,51.1,51.2,125034,6389879,65,0.0
2024-10-09,51.1,51.1,51.0,51.0,62029,3164677,33,-0.2
2024-10-11,51.0,51.1,51.0,51.1,23737,1212143,21,0.1
2024-10-14,51.1,51.2,51.1,51.2,73001,3730451,22,0.1
2024-10-15,51.1,51.2,51.1,51.2,78000,3986400,15,0.0
2024-10-16,51.1,51.6,51.1,51.2,217000,11125300,37,0.0
2024-10-17,51.2,51.2,51.2,51.2,48000,2457600,8,0.0
2024-10-18,51.2,51.2,51.1,51.2,72043,3686209,35,0.0
2024-10-21,51.2,51.2,51.1,51.2,42425,2170260,21,0.0
2024-10-22,51.1,51.1,51.1,51.1,113487,5799039,35,-0.1
2024-10-23,51.1,51.1,51.1,51.1,88616,4528216,28,0.0
2024-10-24,51.1,51.2,51.1,51.1,84939,4342363,31,0.0
2024-10-25,51.1,51.2,51.1,51.2,71380,3648709,47,0.1
2024-10-28,51.1,51.1,51.0,51.1,87317,4460973,58,-0.1
2024-10-29,51.1,51.5,51.1,51.3,142027,7275182,82,0.2
2024-10-30,51.3,51.3,51.1,51.3,121323,6209455,57,0.0
2024-11-01,51.1,51.1,51.1,51.1,8130,415452,9,-0.2
2024-11-04,51.2,51.2,50.9,51.2,206000,10513900,74,0.1
2024-11-05,51.1,51.4,51.1,51.1,255785,13089378,31,-0.1
2024-11-06,51.1,51.3,51.0,51.0,140195,7167564,17,-0.1
2024-11-07,51.1,51.2,51.1,51.2,80597,4119438,47,0.2
2024-11-08,51.1,51.2,51.1,51.1,206217,10537882,56,-0.1
2024-11-11,51.1,51.1,51.0,51.0,57833,2954541,29,-0.1
2024-11-12,51.1,51.1,50.9,51.0,149468,7617794,53,0.0
2024-11-13,51.0,51.1,50.9,51.0,155110,7900508,31,0.0
2024-11-14,50.9,51.0,50.9,51.0,41059,2093196,23,0.0
2024-11-15,51.0,51.0,50.9,51.0,46884,2390142,20,0.0
2024-11-18,51.0,51.0,50.9,51.0,63614,3243763,45,0.0
2024-11-19,51.0,51.3,51.0,51.2,172037,8805249,38,0.2
2024-11-20,51.2,51.2,50.9,51.0,125392,6394117,42,-0.2
2024-11-21,51.1,51.2,51.0,51.0,64076,3270960,32,0.0
2024-11-22,51.0,51.4,50.9,51.0,114498,5855011,34,0.0
2024-11-25,50.9,51.1,50.9,51.1,64429,3288092,31,0.1
2024-11-26,51.2,51.2,51.1,51.2,18891,966241,14,0.1
2024-11-27,51.1,51.1,51.0,51.1,55023,2806979,14,-0.1
2024-11-28,51.1,51.4,50.9,51.4,149035,7632788,20,0.3
2024-11-29,51.2,51.4,51.1,51.4,111615,5727275,34,0.0
2024-12-02,51.2,51.6,51.0,51.4,189395,9690469,58,0.0
2024-12-03,51.1,51.6,51.1,51.2,106960,5502704,41,-0.2
2024-12-04,51.2,51.2,51.2,51.2,27094,1386994,16,0.0
2024-12-05,51.2,51.2,51.2,51.2,13296,680666,15,0.0
2024-12-06,51.2,51.2,51.0,51.0,210742,10764714,57,-0.2
2024-12-09,51.2,51.2,51.2,51.2,13608,696618,13,0.2
2024-12-10,51.2,51.2,51.2,51.2,31436,1609441,10,0.0
2024-12-11,51.2,51.2,51.2,51.2,21207,1085757,11,0.0
2024-12-12,51.1,51.2,51.1,51.2,83064,4247176,33,0.0
2024-12-13,51.2,51.5,51.0,51.1,171411,8788123,48,-0.1
2024-12-16,51.1,51.1,51.1,51.1,22000,1124200,6,0.0
2024-12-17,51.1,51.3,51.1,51.2,107617,5507927,27,0.1
2024-12-18,51.1,51.3,51.1,51.3,97000,4963100,11,0.1
2024-12-19,51.1,51.3,51.1,51.3,85376,4367813,17,0.0
2024-12-20,51.2,51.6,51.1,51.3,212569,10913275,54,0.0
2024-12-23,51.1,51.2,51.1,51.1,306552,15666911,76,-0.2
2024-12-24,51.1,51.4,51.1,51.3,136174,6973307,31,0.2
2024-12-25,51.1,51.5,51.1,51.3,218034,11187646,55,0.0
2024-12-26,51.2,51.5,51.2,51.3,197000,10102000,35,0.0
2024-12-27,51.2,51.7,51.2,51.4,320702,16477760,64,0.1
2024-12-30,51.3,51.7,51.2,51.6,232174,11950347,40,0.2
2024-12-31,51.3,51.7,51.3,51.6,147000,7581400,32,0.0
2025-01-02,51.4,51.5,51.3,51.5,64357,3307880,30,-0.1
2025-01-03,51.4,51.5,51.3,51.5,122238,6288585,29,0.0
2025-01-06,51.3,51.8,51.3,51.4,147031,7579493,34,-0.1
2025-01-07,51.4,51.4,51.2,51.2,101334,5195187,57,-0.2
2025-01-08,51.2,51.6,51.2,51.3,117668,6041402,44,0.1
2025-01-09,51.2,51.4,51.2,51.4,72184,3702238,25,0.1
2025-01-10,51.2,51.3,51.2,51.3,101000,5172700,43,-0.1
2025-01-13,51.2,51.4,51.1,51.4,86000,4407300,26,0.1
2025-01-14,51.3,51.3,51.2,51.3,90636,4648198,39,-0.1
2025-01-15,51.3,51.5,51.2,51.2,328066,16840772,57,-0.1
2025-01-16,51.2,51.5,51.2,51.3,166227,8539450,42,0.1
2025-01-17,51.2,51.2,51.2,51.2,568008,29082008,49,-0.1
2025-01-20,51.1,51.5,51.1,51.4,295079,15153544,62,0.2
2025-01-21,51.3,51.6,51.3,51.4,170180,8769687,32,0.0
2025-01-22,51.4,51.7,51.3,51.4,127841,6585955,39,0.0
2025-02-03,51.3,51.5,51.3,51.5,128385,6595111,19,0.1
2025-02-04,51.4,51.4,51.2,51.4,154049,7898609,30,-0.1
2025-02-05,51.4,51.6,51.4,51.5,159362,8202435,25,0.1
2025-02-06,51.4,51.5,51.3,51.5,88283,4537145,19,0.0
2025-02-07,51.4,51.5,51.4,51.5,106060,5457089,15,0.0
2025-02-10,51.4,51.5,51.4,51.5,104121,5358218,14,0.0
2025-02-11,51.4,51.6,51.4,51.6,123790,6374538,28,0.1
2025-02-12,51.5,51.8,51.5,51.7,335000,17299600,43,0.1
2025-02-13,51.6,51.6,51.5,51.6,49200,2536519,13,-0.1
2025-02-14,51.5,51.8,51.4,51.5,251065,12951754,62,-0.1
2025-02-17,51.4,51.8,51.4,51.5,277208,14292520,47,0.0
2025-02-18,51.5,51.7,51.4,51.6,338715,17446812,64,0.1
2025-02-19,51.4,51.6,51.4,51.6,294265,15140176,55,0.0
2025-02-20,51.5,51.8,51.5,51.5,327155,16885063,41,-0.1
2025-02-21,51.4,51.5,51.4,51.5,65843,3386507,27,0.0
2025-02-24,51.4,51.5,51.4,51.5,63239,3251007,19,0.0
2025-02-25,51.4,51.5,51.4,51.5,53293,2740268,24,0.0
2025-02-26,51.4,51.6,51.4,51.6,92747,4773073,48,0.1
2025-02-27,51.5,51.8,51.4,51.6,472550,24365223,99,0.0
2025-03-03,51.5,51.9,51.5,51.9,384071,19868155,57,0.3
2025-03-04,51.6,51.8,51.6,51.8,90501,4684238,21,-0.1
2025-03-05,51.7,52.2,51.7,51.9,262267,13614713,40,0.1
2025-03-06,51.8,52.1,51.8,51.8,136393,7082256,29,-0.1
2025-03-07,51.7,51.8,51.7,51.7,461009,23835173,29,-0.1
2025-03-10,51.7,51.8,51.7,51.8,94000,4864600,11,0.1
2025-03-11,51.7,51.7,51.7,51.7,60363,3120727,33,-0.1
2025-03-12,51.6,52.1,51.6,51.9,174044,9034274,42,0.2
2025-03-13,51.8,51.8,51.7,51.8,15060,779814,8,-0.1
2025-03-14,51.8,51.8,51.8,51.8,38143,1975821,11,0.0
2025-03-17,51.8,52.2,51.8,51.9,167348,8703622,45,0.1
2025-03-18,51.8,51.9,51.8,51.8,51072,2645829,20,-0.1
2025-03-19,51.8,51.9,51.8,51.8,73377,3804244,28,0.0
2025-03-20,51.8,51.9,51.7,51.8,142602,7381242,42,0.0
2025-03-21,51.7,51.8,51.7,51.8,39174,2025684,13,0.0
2025-03-24,51.7,51.8,51.7,51.8,37928,1960904,15,0.0
2025-03-25,51.7,51.8,51.7,51.8,35673,1844392,20,0.0
2025-03-26,51.7,51.8,51.7,51.8,11179,578052,10,0.0
2025-03-27,51.7,51.8,51.7,51.8,71000,3673900,22,0.0
2025-03-28,51.7,51.7,51.6,51.7,75000,3877300,25,-0.1
2025-03-31,51.7,51.7,51.4,51.4,928170,47804714,67,-0.3
2025-04-01,51.4,51.5,51.4,51.5,76935,3958724,33,0.1
2025-04-02,51.4,51.5,51.4,51.5,86912,4470331,38,0.0
2025-04-07,50.6,50.8,49.8,50.0,645642,32409025,245,-1.5
2025-04-08,50.2,50.5,50.0,50.3,153070,7691681,93,0.3
2025-04-09,50.3,50.3,50.0,50.0,326161,16341683,101,-0.3
2025-04-10,50.7,51.3,50.4,50.8,233514,11853498,92,0.8
2025-04-11,50.5,50.8,50.3,50.7,192514,9747230,67,-0.1
2025-04-14,50.7,50.9,50.5,50.6,444323,22519444,79,-0.1
2025-04-15,50.6,51.0,50.6,51.0,139694,7109176,43,0.4
2025-04-16,50.8,50.8,50.8,50.8,199897,10154783,30,-0.2
2025-04-17,50.7,50.8,50.6,50.8,180467,9149104,33,0.0
2025-04-18,50.7,51.0,50.7,51.0,139205,7082755,99,0.2
2025-04-21,50.9,51.0,50.9,51.0,107166,5462160,36,0.0
2025-04-22,50.9,51.0,50.9,51.0,163504,8334562,111,0.0
2025-04-23,50.9,51.0,50.9,51.0,112294,5723943,24,0.0
2025-04-24,50.9,50.9,50.8,50.9,93270,4747003,31,-0.1
2025-04-25,50.9,51.0,50.9,51.0,75602,3852383,36,0.1
2025-04-28,50.9,51.0,50.9,51.0,71692,3650981,28,0.0
2025-04-29,50.9,50.9,50.9,50.9,36000,1832400,14,-0.1
2025-04-30,50.8,51.0,50.8,51.0,87253,4438343,45,0.1
2025-05-02,50.9,50.9,50.8,50.9,507752,25806706,106,-0.1
2025-05-05,50.8,50.8,50.6,50.8,323584,16403978,128,-0.1
2025-05-06,50.7,50.7,50.5,50.6,210944,10682359,67,-0.2
2025-05-07,50.5,50.5,50.3,50.4,263080,13268635,112,-0.2
2025-05-08,50.4,50.4,50.3,50.4,292643,14735202,91,0.0
2025-05-09,50.4,50.7,50.4,50.7,151827,7671121,45,0.3
2025-05-12,50.6,50.7,50.6,50.7,59446,3010404,28,0.0
2025-05-13,50.6,50.6,50.5,50.6,104238,5270301,37,-0.1
2025-05-14,50.5,50.6,50.5,50.6,68001,3434250,24,0.0
2025-05-15,50.5,50.7,50.5,50.6,89325,4517809,23,0.0
2025-05-16,50.5,50.6,50.5,50.6,61100,3088450,22,0.0
2025-05-19,50.5,50.6,50.4,50.5,177334,8951399,64,-0.1
2025-05-20,50.5,50.5,50.4,50.5,312226,15762399,62,0.0
2025-05-21,50.4,50.4,50.4,50.4,115563,5824400,58,-0.1
2025-05-22,50.4,50.4,50.3,50.4,362890,18260150,57,0.0
2025-05-23,50.4,50.4,50.3,50.4,70563,3553318,30,0.0
2025-05-26,50.3,50.5,50.3,50.5,135164,6809549,25,0.1
2025-05-27,50.4,50.5,50.4,50.5,59000,2976500,13,0.0
2025-05-28,50.4,50.5,50.4,50.4,130213,6567555,40,-0.1
2025-05-29,50.3,50.4,50.3,50.4,135633,6831008,51,0.0
2025-06-02,50.3,50.4,50.3,50.4,65000,3270900,27,0.0
2025-06-03,50.3,50.6,50.3,50.3,189308,9534401,56,-0.1
2025-06-04,50.3,50.5,50.3,50.4,231100,11633840,70,0.1
2025-06-05,50.3,50.5,50.3,50.5,108182,5452972,28,0.1
2025-06-06,50.5,50.5,50.3,50.4,130142,6553957,44,-0.1
