date,open,high,low,close,volume,trading_money,trading_turnover,spread
2024-02-26,45.9,46.0,45.9,45.95,22820,1048399,45,0.05
2024-02-27,45.95,45.95,45.95,45.95,65364,3003457,68,0.0
2024-02-29,45.95,45.95,45.95,45.95,26068,1197818,35,0.0
2024-03-01,45.95,46.0,45.95,45.95,32006,1470621,33,0.0
2024-03-04,45.95,46.0,45.9,45.9,47153,2166470,34,-0.05
2024-03-05,46.0,46.0,45.9,46.0,18274,840278,22,0.1
2024-03-06,45.95,46.1,45.95,46.05,148366,6824851,28,0.05
2024-03-07,46.15,46.15,46.0,46.0,176795,8141111,144,-0.05
2024-03-08,46.1,46.15,46.05,46.05,70184,3234651,64,0.05
2024-03-11,46.05,46.1,46.0,46.0,104372,4803575,107,-0.05
2024-03-12,46.0,46.0,45.85,45.85,204180,9379707,109,-0.15
2024-03-13,46.0,46.0,45.85,45.9,29415,1349930,24,0.05
2024-03-14,45.95,45.95,45.85,45.85,73562,3376854,62,-0.05
2024-03-15,45.85,45.95,45.85,45.95,37288,1711821,36,0.1
2024-03-18,45.9,45.95,45.9,45.95,89199,4094483,41,0.0
2024-03-19,45.95,45.95,45.85,45.85,54981,2522574,56,-0.1
2024-03-20,45.85,45.85,45.85,45.85,2087,95556,9,0.0
2024-03-21,45.9,45.9,45.8,45.9,102760,4711721,78,0.05
2024-03-22,45.85,45.9,45.8,45.9,114041,5225792,78,0.0
2024-03-25,45.9,45.9,45.85,45.85,89570,4108952,65,-0.05
2024-03-26,45.9,45.9,45.8,45.8,187922,8612110,122,-0.05
2024-03-27,45.8,45.8,45.75,45.75,100319,4593117,69,-0.05
2024-03-28,45.75,45.8,45.75,45.8,51287,2347348,56,0.05
2024-03-29,45.8,45.8,45.7,45.75,172540,7894867,75,-0.05
2024-04-01,45.65,45.95,45.65,45.65,169914,7767883,81,-0.1
2024-04-02,45.7,45.85,45.7,45.85,123751,5663248,136,0.2
2024-04-03,45.85,45.85,45.85,45.85,2412,110556,11,0.0
2024-04-08,45.85,45.9,45.85,45.9,10261,470799,6,0.05
2024-04-09,45.9,46.0,45.9,46.0,17019,782640,14,0.1
2024-04-10,46.1,46.1,46.1,46.1,5174,238468,14,0.1
2024-04-11,46.1,46.1,46.05,46.1,8267,380908,12,0.0
2024-04-12,46.2,46.25,46.2,46.25,44271,2046006,14,0.15
2024-04-15,46.25,46.35,46.25,46.35,29215,1352692,12,0.1
2024-04-16,46.25,46.35,46.25,46.35,35471,1642813,12,0.0
