date,open,high,low,close,volume,trading_money,trading_turnover,spread
2025-07-24,35.8,36.25,35.6,35.6,157061,5616574,91,0.0
2025-07-25,35.75,36.2,35.7,35.75,129240,4622945,47,0.15
2025-07-28,35.65,35.65,35.5,35.6,88188,3134561,55,-0.15
2025-07-29,35.55,35.6,35.2,35.35,141804,5024308,49,-0.25
2025-07-30,35.25,35.35,35.25,35.35,116162,4105130,41,0.0
2025-07-31,35.45,35.45,35.3,35.35,12982,458431,24,0.0
2025-08-01,35.35,35.7,35.35,35.65,136497,4834051,41,0.3
2025-08-04,35.45,35.75,35.45,35.75,29384,1048389,24,0.1
2025-08-05,35.75,35.95,35.75,35.95,25058,899021,24,0.2
2025-08-06,36.0,36.05,36.0,36.05,38491,1384799,36,0.1
2025-08-07,36.1,36.2,36.1,36.1,45170,1632163,21,0.05
2025-08-08,36.1,36.15,36.1,36.1,29122,1051675,20,0.0
2025-08-11,36.15,36.15,36.1,36.1,18048,652374,11,0.0
2025-08-12,36.2,36.25,36.15,36.15,37935,1372706,31,0.05
2025-08-13,36.2,36.35,36.2,36.35,46337,1681469,36,0.2
2025-08-14,36.35,36.4,36.3,36.35,33453,1215825,25,0.0
2025-08-15,36.4,36.45,36.35,36.45,47362,1724447,35,0.1
2025-08-18,36.45,36.5,36.45,36.5,13527,493504,19,0.05
2025-08-19,36.5,36.5,36.4,36.5,23430,854102,27,0.0
2025-08-20,36.5,36.5,36.45,36.45,7047,256879,13,-0.05
2025-08-21,36.5,36.55,36.45,36.5,22739,829661,30,0.05
2025-08-22,36.5,36.55,36.5,36.55,3878,141853,11,0.05
2025-08-25,36.55,36.55,36.5,36.5,9414,343676,10,-0.05
2025-08-26,36.5,36.55,36.45,36.55,27312,997621,28,0.05
2025-08-27,36.55,36.6,36.55,36.6,17790,650267,19,0.05
2025-08-28,36.55,36.55,36.55,36.55,16051,586663,14,-0.05
2025-08-29,36.55,36.6,36.5,36.55,48204,1761079,23,0.0
2025-09-01,36.5,36.5,36.45,36.5,20192,736956,13,-0.05
2025-09-02,36.5,36.6,36.5,36.6,152213,5569926,27,0.1
