date,open,high,low,close,volume,trading_money,trading_turnover,spread
2025-07-24,36.8,36.8,35.65,35.7,306799,11028730,167,0.0
2025-07-25,35.85,36.25,35.6,35.8,266065,9568132,150,0.1
2025-07-28,35.7,35.7,35.5,35.55,221350,7877062,113,-0.25
2025-07-29,35.85,35.85,35.3,35.4,87674,3107338,76,-0.15
2025-07-30,35.4,35.7,35.4,35.6,102990,3665618,33,0.2
2025-07-31,35.55,35.55,35.55,35.55,7035,250088,9,-0.05
2025-08-01,35.55,35.8,35.55,35.7,36419,1298648,40,0.15
2025-08-04,35.8,35.85,35.65,35.85,76402,2728959,52,0.15
2025-08-05,35.95,36.0,35.85,35.9,111360,3996019,62,0.05
2025-08-06,36.05,36.15,36.0,36.15,49283,1778414,43,0.25
2025-08-07,36.1,36.2,36.05,36.1,64440,2325894,44,-0.05
2025-08-08,36.1,36.25,36.1,36.1,214833,7776768,107,0.0
2025-08-11,36.15,36.15,35.9,36.0,106759,3847529,61,-0.1
2025-08-12,36.05,36.15,36.0,36.1,160333,5782340,83,0.1
2025-08-13,36.2,36.4,36.1,36.2,307410,11145912,133,0.1
2025-08-14,36.3,36.4,36.25,36.25,78126,2836798,56,0.05
2025-08-15,36.25,36.5,36.25,36.4,219113,7977147,66,0.15
2025-08-18,36.5,36.55,36.45,36.55,164659,6009209,83,0.15
2025-08-19,36.55,36.6,36.5,36.6,120398,4402419,64,0.05
2025-08-20,36.6,36.6,36.5,36.5,48150,1760372,38,-0.1
2025-08-21,36.55,36.7,36.5,36.55,105047,3843952,53,0.05
2025-08-22,36.55,36.7,36.55,36.6,53736,1966416,27,0.05
2025-08-25,36.6,36.65,36.55,36.65,130854,4788811,69,0.05
2025-08-26,36.65,36.65,36.55,36.55,158265,5792081,50,-0.1
2025-08-27,36.6,36.65,36.5,36.6,155141,5677600,55,0.05
2025-08-28,36.6,36.6,36.45,36.55,110706,4047439,58,-0.05
2025-08-29,36.55,36.6,36.5,36.55,79844,2918464,47,0.0
2025-09-01,36.55,36.6,36.5,36.55,67994,2484297,56,0.0
2025-09-02,36.6,36.65,36.6,36.6,30120,1103028,24,0.05
