date,open,high,low,close,volume,trading_money,trading_turnover,spread
2025-07-24,9.0,9.0,9.0,9.0,20821646,187394814,4847,0.0
2025-07-25,8.69,8.95,8.69,8.84,433074504,3784294380,37488,-0.16
2025-07-28,8.88,8.92,8.87,8.9,115294439,1025831929,11524,0.06
2025-07-29,8.89,8.92,8.88,8.88,105270250,936111575,9619,-0.02
2025-07-30,8.88,8.9,8.87,8.87,84974695,754600324,7191,-0.01
2025-07-31,8.88,8.95,8.88,8.93,77418198,690703803,4185,0.06
2025-08-01,8.94,9.06,8.93,9.02,55529467,499455775,4197,0.09
2025-08-04,9.05,9.15,9.04,9.12,43588744,396811235,4817,0.1
2025-08-05,9.16,9.17,9.13,9.13,46176704,422157760,4925,0.01
2025-08-06,9.15,9.17,9.13,9.16,34777670,318192650,2822,0.03
2025-08-07,9.15,9.17,9.1,9.1,59852975,546706582,4655,-0.06
2025-08-08,9.12,9.16,9.12,9.14,22060752,201737450,4064,0.04
2025-08-11,9.11,9.15,9.11,9.13,41196290,375718639,2364,-0.01
2025-08-12,9.13,9.15,9.13,9.14,11719752,107108705,2575,0.01
2025-08-13,9.13,9.15,9.12,9.12,42210388,385296170,2945,-0.02
2025-08-14,9.13,9.14,9.12,9.13,15110588,137925626,2104,0.01
2025-08-15,9.13,9.14,9.12,9.13,47103270,430051344,1536,0.0
2025-08-18,9.13,9.14,9.12,9.14,32653848,298174656,1844,0.01
2025-08-19,9.14,9.14,9.12,9.14,20127225,183780847,1430,0.0
2025-08-20,9.13,9.14,9.12,9.12,26969947,246113498,1909,-0.02
2025-08-21,9.13,9.14,9.12,9.13,4942751,45116760,1191,0.01
2025-08-22,9.13,9.14,9.12,9.12,13281605,121256650,1591,-0.01
2025-08-25,9.13,9.14,9.12,9.13,7901385,72092181,1358,0.01
2025-08-26,9.13,9.13,9.1,9.1,23175950,211185589,2170,-0.03
2025-08-27,9.12,9.12,9.09,9.12,14857882,135283743,1839,0.02
2025-08-28,9.11,9.12,9.09,9.11,14734973,134121983,1602,-0.01
2025-08-29,9.11,9.13,9.1,9.1,7633073,69559268,1076,-0.01
2025-09-01,9.11,9.12,9.1,9.11,6371844,58014354,1665,0.01
2025-09-02,9.11,9.14,9.11,9.12,5710896,52094538,1405,0.01
2025-09-03,9.12,9.15,9.12,9.15,13218760,120743277,1911,0.03
2025-09-04,9.14,9.14,9.12,9.14,23070546,210672069,1736,-0.01
2025-09-05,9.14,9.15,9.13,9.14,8687765,79395915,1352,0.0
2025-09-08,9.14,9.16,9.13,9.15,15748230,143982597,1467,0.01
2025-09-09,9.15,9.18,9.15,9.17,9584028,87879894,1486,0.02
2025-09-10,9.17,9.25,9.17,9.25,12183357,112179371,2095,0.08
2025-09-11,9.25,9.27,9.22,9.22,6925694,63997398,1103,-0.03
2025-09-12,9.22,9.26,9.22,9.24,18126853,167605973,1514,0.02
2025-09-15,9.25,9.26,9.24,9.25,40346049,373198689,1173,0.01
2025-09-16,9.25,9.27,9.25,9.25,12837907,118814757,1042,0.0
2025-09-17,9.25,9.26,9.24,9.24,17881726,165389062,893,-0.01
2025-09-18,9.24,9.26,9.24,9.25,23954542,221556470,989,0.01
2025-09-19,9.26,9.27,9.25,9.25,39278745,363620338,1121,0.0
2025-09-22,9.27,9.27,9.24,9.25,18741343,173392461,1146,0.0
2025-09-23,9.25,9.27,9.24,9.25,27637655,255754677,1347,0.0
