date,open,high,low,close,volume,trading_money,trading_turnover,spread
2024-02-26,16.8,16.8,16.8,16.8,12069,202751,26,-0.1
2024-02-27,16.8,16.8,16.7,16.7,16450,275536,24,-0.1
2024-02-29,16.7,16.75,16.7,16.75,10053,167966,24,0.05
2024-03-01,16.7,16.75,16.7,16.75,7187,120164,29,0.0
2024-03-04,16.75,16.75,16.7,16.7,9110,152189,33,-0.05
2024-03-05,16.7,16.7,16.7,16.7,27718,462866,30,0.0
2024-03-06,16.65,16.7,16.65,16.7,29060,484032,43,0.0
2024-03-07,16.7,16.85,16.65,16.85,60773,1016724,60,0.15
2024-03-08,16.85,16.85,16.75,16.75,5044,84664,34,-0.1
2024-03-11,16.75,16.75,16.7,16.75,25386,425171,34,0.0
2024-03-12,16.75,16.85,16.75,16.85,21584,362818,30,0.1
2024-03-13,16.8,16.85,16.8,16.85,33322,561225,25,0.0
2024-03-14,16.9,16.9,16.8,16.9,284325,4796051,30,0.05
2024-03-15,16.9,16.9,16.9,16.9,4109,69286,20,0.0
2024-03-18,16.8,16.8,16.75,16.75,5703,95602,13,-0.15
2024-03-19,16.75,16.75,16.75,16.75,18426,308633,16,0.0
2024-03-20,16.75,16.75,16.7,16.75,26139,437695,19,0.0
2024-03-21,16.75,16.75,16.75,16.75,7174,120107,38,0.0
2024-03-22,16.75,16.75,16.75,16.75,4974,83239,30,0.0
2024-03-25,16.7,16.75,16.7,16.75,31819,532624,34,0.0
2024-03-26,0.0,0.0,0.0,0.0,95,1585,3,0.0
2024-03-27,16.75,16.75,16.7,16.7,13898,232347,22,0.0
2024-03-28,16.7,16.7,16.7,16.7,5827,97280,15,0.0
2024-03-29,16.7,16.7,16.7,16.7,5309,88604,25,0.0
2024-04-01,16.75,16.75,16.7,16.7,14163,236563,16,0.0
2024-04-02,16.7,16.75,16.7,16.75,69855,1169436,35,0.05
2024-04-03,0.0,0.0,0.0,0.0,322,5357,8,0.0
2024-04-08,0.0,0.0,0.0,0.0,276,4612,7,0.0
2024-04-09,16.7,16.75,16.7,16.75,6157,102912,14,0.0
2024-04-10,0.0,0.0,0.0,0.0,2194,36791,36,0.0
2024-04-11,0.0,0.0,0.0,0.0,1902,31807,15,0.0
2024-04-12,16.7,16.7,16.7,16.7,4991,83326,15,0.0
2024-04-15,0.0,0.0,0.0,0.0,350,5857,8,0.0
