date,open,high,low,close,volume,trading_money,trading_turnover,spread
2024-02-26,60.2,60.3,60.2,60.3,22119,1331360,44,0.0
2024-02-27,60.2,60.3,60.1,60.1,168094,10116741,41,-0.2
2024-02-29,60.2,60.3,60.1,60.3,8511,512355,26,0.2
2024-03-01,60.0,60.2,60.0,60.2,8694,522455,138,-0.1
2024-03-04,60.0,60.2,59.4,60.1,68218,4095786,48,-0.1
2024-03-05,60.0,60.1,59.9,60.1,42808,2568865,37,0.0
2024-03-06,60.0,60.3,60.0,60.0,13221,793784,33,-0.1
2024-03-07,60.3,60.3,59.9,60.1,63865,3831995,41,0.1
2024-03-08,60.0,60.2,60.0,60.2,16556,993954,31,0.1
2024-03-11,60.1,60.2,60.0,60.0,10139,608812,55,-0.2
2024-03-12,60.0,60.0,59.9,60.0,63865,3826121,61,0.0
2024-03-13,59.9,60.0,59.8,60.0,23566,1411516,49,0.0
2024-03-14,59.9,60.1,59.9,60.1,36372,2179166,45,0.1
2024-03-15,59.9,60.1,59.9,60.0,5403,323526,21,-0.1
2024-03-18,60.0,60.0,59.9,60.0,39837,2387620,50,0.0
2024-03-19,59.9,60.0,59.9,60.0,60596,3629614,31,0.0
2024-03-20,60.0,60.0,59.9,60.0,81458,4880284,33,0.0
2024-03-21,59.9,60.1,59.9,60.1,17145,1027783,50,0.1
2024-03-22,60.1,60.3,60.1,60.3,19513,1173049,37,0.2
2024-03-25,60.2,60.4,60.2,60.4,12253,739652,33,0.1
2024-03-26,60.3,60.4,60.1,60.3,22758,1371458,36,-0.1
2024-03-27,60.0,60.1,60.0,60.1,36645,2198824,58,-0.2
2024-03-28,60.1,60.3,60.1,60.1,7197,432719,50,0.0
2024-03-29,60.0,60.2,60.0,60.2,30497,1829610,51,0.1
2024-04-01,59.9,60.3,59.9,60.3,11642,700814,52,0.1
2024-04-02,60.1,60.3,60.1,60.3,20766,1249214,100,0.0
2024-04-03,60.3,60.3,60.3,60.3,3506,211260,33,0.0
2024-04-08,0.0,0.0,0.0,0.0,325,19528,80,0.0
2024-04-09,60.2,60.3,60.0,60.3,31171,1872642,28,0.0
2024-04-10,60.0,60.1,60.0,60.1,63316,3799030,30,-0.2
2024-04-11,60.0,60.0,59.9,60.0,65702,3935914,43,-0.1
2024-04-12,60.3,60.3,60.0,60.3,10382,625360,69,0.3
2024-04-15,60.0,60.1,59.9,60.1,46642,2794638,47,-0.2
2024-04-16,60.3,60.3,59.9,60.1,223050,13374025,89,0.0
2024-04-17,59.9,60.1,59.9,60.0,61219,3667792,44,-0.1
2024-04-18,60.2,60.2,59.9,60.0,49600,2971614,61,0.0
2024-04-19,60.2,60.2,59.9,60.1,161808,9697895,76,0.1
2024-04-22,59.9,60.0,59.9,60.0,202068,12109071,64,-0.1
2024-04-23,59.9,60.2,59.8,60.0,83574,5003845,45,0.0
