date,open,high,low,close,volume,trading_money,trading_turnover,spread
2024-02-26,20.1,20.4,20.05,20.35,237884,4808052,186,0.1
2024-02-27,21.0,21.6,20.2,20.2,706149,14759212,562,-0.15
2024-02-29,20.15,20.5,20.1,20.3,273434,5541420,194,0.1
2024-03-01,20.3,22.3,20.25,22.3,1280140,28068539,725,2.0
2024-03-04,23.65,24.5,22.75,24.5,7758263,186508905,2977,2.2
2024-03-05,24.6,24.65,22.6,23.5,3605833,84493847,2394,-1.0
2024-03-06,23.15,23.6,22.9,23.05,997909,23129048,736,-0.45
2024-03-07,23.3,23.95,20.85,20.85,1846560,41587315,1274,-2.2
2024-03-08,20.85,20.9,19.75,20.7,969470,19638071,574,-0.15
2024-03-11,20.45,21.0,19.95,19.95,695542,14080184,442,-0.75
2024-03-12,20.5,20.5,20.05,20.15,199454,4037074,173,0.2
2024-03-13,20.5,20.5,19.2,19.35,382638,7519417,297,-0.8
2024-03-14,19.4,19.7,19.1,19.1,114717,2221313,140,-0.25
2024-03-15,18.9,19.2,18.85,18.85,122521,2330889,151,-0.25
2024-03-18,19.0,19.3,18.6,19.25,173722,3300960,164,0.4
2024-03-19,19.35,19.7,19.3,19.55,183419,3565339,164,0.3
2024-03-20,19.75,19.75,19.45,19.45,81553,1591499,81,-0.1
2024-03-21,19.5,19.5,19.15,19.15,92167,1774092,102,-0.3
2024-03-22,19.35,19.35,18.45,18.8,278802,5235061,233,-0.35
2024-03-25,18.6,19.15,18.6,19.05,68217,1293832,74,0.25
2024-03-26,19.05,19.3,18.75,18.75,107652,2034312,111,-0.3
2024-03-27,18.9,19.85,18.9,19.35,293825,5733470,213,0.6
2024-03-28,19.6,19.75,19.15,19.15,103778,2011067,119,-0.2
2024-03-29,19.35,19.35,18.65,18.8,146841,2778162,150,-0.35
2024-04-01,18.9,19.45,18.9,19.05,139289,2663819,108,0.25
2024-04-02,19.25,19.3,18.8,18.8,91047,1721830,97,-0.25
2024-04-03,18.65,18.7,18.4,18.5,74436,1378440,76,-0.3
2024-04-08,18.7,18.75,18.6,18.65,54953,1026210,80,0.15
2024-04-09,18.75,18.8,18.7,18.8,45575,854930,66,0.15
2024-04-10,18.8,19.4,18.8,19.2,142664,2725270,133,0.4
2024-04-11,19.2,20.6,19.2,20.05,839884,16842512,681,0.85
2024-04-12,20.15,21.0,19.6,19.9,836642,17090875,633,-0.15
2024-04-15,19.85,20.3,19.35,19.35,283232,5608634,267,-0.55
2024-04-16,19.35,19.4,18.3,18.8,214341,3990277,228,-0.55
2024-04-17,18.8,19.7,18.8,19.6,163049,3167288,161,0.8
2024-04-18,19.5,20.4,19.5,20.15,367375,7354916,289,0.55
2024-04-19,20.15,21.35,19.3,19.8,1035502,21169599,788,-0.35
2024-04-22,20.15,21.75,20.0,21.75,2169003,46751205,1029,1.95
2024-04-23,22.15,22.9,20.2,20.65,2729385,58303584,1715,-1.1
2024-04-24,20.85,22.7,20.85,22.7,1146759,25747463,545,2.05
2024-04-25,22.55,23.65,21.55,21.65,2954370,66519056,1923,-1.05
2024-04-26,22.2,22.2,21.1,21.3,898003,19358111,651,-0.35
2024-04-29,21.0,21.05,20.25,20.25,570400,11744372,484,-1.05
2024-04-30,20.3,20.7,20.1,20.15,271115,5498496,258,-0.1
2024-05-02,20.05,20.15,19.85,19.85,208695,4169831,193,-0.3
2024-05-03,20.05,20.15,19.7,19.7,189099,3759098,192,-0.15
2024-05-06,19.75,19.9,19.45,19.45,204808,4028526,177,-0.25
2024-05-07,19.55,19.75,19.35,19.75,144157,2817378,131,0.3
2024-05-08,19.75,19.75,19.6,19.65,60591,1192162,82,-0.1
2024-05-09,19.85,20.65,19.8,19.8,332699,6682421,276,0.15
2024-05-10,20.0,20.25,19.9,20.1,147299,2955536,174,0.3
2024-05-13,20.1,20.85,20.1,20.7,231812,4730924,196,0.6
2024-05-14,20.95,21.4,20.55,20.8,245672,5132278,204,0.1
2024-05-15,20.95,21.0,20.6,20.6,145605,3021890,187,-0.2
2024-05-16,20.6,20.8,20.5,20.5,198215,4091010,155,-0.1
