date,open,high,low,close,volume,trading_money,trading_turnover,spread
2024-02-19,96.9,96.9,96.5,96.5,169804,16389758,71,-0.4
2024-02-20,96.5,96.8,96.5,96.8,38398,3712627,27,0.3
2024-02-21,96.8,96.9,96.8,96.8,35287,3417297,15,0.0
2024-02-22,96.8,97.1,96.8,96.9,27249,2641252,25,0.1
2024-02-23,97.0,97.1,97.0,97.0,55550,5391050,31,0.1
2024-02-26,97.0,97.0,96.8,96.8,161686,15669884,53,-0.2
2024-02-27,96.8,96.9,96.8,96.8,192870,18670152,45,0.0
2024-02-29,96.9,96.9,96.7,96.7,74636,7221653,39,-0.1
2024-03-01,96.8,96.8,96.7,96.7,42227,4084778,39,0.0
2024-03-04,97.0,97.0,96.7,96.8,34634,3351233,45,0.1
2024-03-05,96.9,96.9,96.7,96.7,152538,14754732,54,-0.1
2024-03-06,96.8,96.8,96.8,96.8,35873,3472405,31,0.1
2024-03-07,96.8,96.9,96.8,96.9,23354,2260931,22,0.1
2024-03-08,96.9,96.9,96.8,96.8,23000,2227065,28,-0.1
2024-03-11,96.8,96.8,96.7,96.8,29401,2846005,24,0.0
2024-03-12,96.8,96.8,96.7,96.7,21667,2097302,19,-0.1
2024-03-13,96.7,96.7,96.7,96.7,28313,2737848,40,0.0
2024-03-14,96.7,96.7,96.6,96.7,46550,4499583,26,0.0
2024-03-15,96.7,97.0,96.7,96.7,31234,3021031,18,0.0
2024-03-18,96.7,96.8,96.7,96.8,36337,3514856,34,0.1
2024-03-19,96.7,96.8,96.6,96.8,106524,10297647,46,0.0
2024-03-20,96.8,96.8,96.7,96.8,60962,5895800,37,0.0
2024-03-21,96.7,96.9,96.7,96.9,86234,8341131,46,0.1
2024-03-22,96.8,96.9,96.7,96.9,78596,7603515,33,0.0
2024-03-25,96.9,96.9,96.8,96.8,15225,1475178,10,-0.1
2024-03-26,96.8,96.9,96.8,96.9,27956,2707742,29,0.1
2024-03-27,96.9,97.0,96.8,96.9,59878,5800208,29,0.0
2024-03-28,96.9,96.9,96.8,96.9,61769,5981286,27,0.0
2024-03-29,97.0,97.0,96.7,96.7,107000,10356321,66,-0.2
2024-04-01,96.7,96.8,96.7,96.8,127134,12295849,28,0.1
2024-04-02,96.8,96.8,96.6,96.7,73438,7103023,48,-0.1
2024-04-03,96.7,96.7,96.7,96.7,10018,968742,9,0.0
2024-04-08,96.6,96.8,96.6,96.8,44222,4278352,57,0.1
2024-04-09,96.8,96.8,96.8,96.8,10003,968291,6,0.0
2024-04-10,96.8,96.9,96.8,96.9,32597,3157449,29,0.1
2024-04-11,96.6,96.9,96.6,96.9,49973,4836963,31,0.0
2024-04-12,96.9,97.0,96.8,97.0,78087,7565639,32,0.1
2024-04-15,97.0,97.1,96.9,97.0,40404,3917881,26,0.0
2024-04-16,97.0,97.0,96.8,96.8,98266,9520312,51,-0.2
2024-04-17,96.7,97.0,96.7,97.0,18094,1752798,14,0.2
2024-04-18,96.9,97.1,96.9,97.1,42995,4172205,27,0.1
2024-04-19,96.9,97.1,96.7,96.8,83087,8048439,39,-0.3
2024-04-22,96.8,96.8,96.8,96.8,28621,2770376,25,0.0
2024-04-23,96.9,97.0,96.8,97.0,28471,2757891,23,0.2
2024-04-24,97.0,97.0,96.9,97.0,21381,2073830,17,0.0
2024-04-25,96.9,97.0,96.9,97.0,18000,1745800,6,0.0
2024-04-26,97.0,97.1,97.0,97.0,38441,3728967,37,0.0
2024-04-29,97.1,97.1,97.0,97.1,12504,1213287,20,0.1
2024-04-30,97.1,97.3,97.1,97.3,11404,1108497,14,0.2
2024-05-02,97.3,97.3,97.3,97.3,7070,687908,11,0.0
2024-05-03,97.3,97.4,97.3,97.3,20150,1960864,19,0.0
2024-05-06,97.4,97.5,97.4,97.5,11380,1108979,17,0.2
2024-05-07,97.5,97.8,97.5,97.5,10324,1007958,21,0.0
2024-05-08,97.5,97.5,97.1,97.2,81424,7930164,38,-0.3
